Test,Status
rotl_3,compilation failed
rotl_4,compilation failed
rotl_5,compilation failed
rotl_6,compilation failed
rotl_7,compilation failed
rotl_8,compilation failed
rotl_9,compilation failed
rotr_1,compilation failed
rotr_10,compilation failed
rotr_11,compilation failed
rotr_12,compilation failed
rotr_13,compilation failed
rotr_2,compilation failed
rotr_3,compilation failed
rotr_4,compilation failed
rotr_5,compilation failed
rotr_6,compilation failed
rotr_7,compilation failed
rotr_8,compilation failed
rotr_9,compilation failed
shl_1,runtime error
shl_10,runtime error
shl_11,runtime error
shl_2,runtime error
shl_3,runtime error
shl_4,runtime error
shl_5,runtime error
shl_6,runtime error
shl_7,runtime error
shl_8,runtime error
shl_9,runtime error
shr_s_1,runtime error
shr_s_10,runtime error
shr_s_11,runtime error
shr_s_12,runtime error
shr_s_13,runtime error
shr_s_14,runtime error
shr_s_15,runtime error
shr_s_16,runtime error
shr_s_17,runtime error
shr_s_2,runtime error
shr_s_3,runtime error
shr_s_4,runtime error
shr_s_5,runtime error
shr_s_6,runtime error
shr_s_7,runtime error
shr_s_8,runtime error
shr_s_9,runtime error
shr_u_1,runtime error
shr_u_10,runtime error
shr_u_11,runtime error
shr_u_12,runtime error
shr_u_13,runtime error
shr_u_14,runtime error
shr_u_15,runtime error
shr_u_16,runtime error
shr_u_17,runtime error
shr_u_2,runtime error
shr_u_3,runtime error
shr_u_4,runtime error
shr_u_5,runtime error
shr_u_6,runtime error
shr_u_7,runtime error
shr_u_8,runtime error
shr_u_9,runtime error
sub_1,runtime error
sub_2,runtime error
sub_3,runtime error
sub_4,runtime error
sub_5,runtime error
sub_6,runtime error
sub_7,runtime error
xor_1,pass
xor_10,pass
xor_2,pass
xor_3,pass
xor_4,pass
xor_5,pass
xor_6,pass
xor_7,pass
xor_8,pass
xor_9,pass
Total Passed,132
Amount of Tests,374
